hour,PULocationID,dayofweek,demanda
0,211,1,1.04
0,211,2,3.59
0,211,3,5.45
0,211,4,10.31
0,211,5,12.98
0,211,6,13.09
0,224,0,0.58
0,224,2,0.12
0,224,4,0.35
0,224,5,1.04
0,224,6,1.27
0,229,0,2.2
0,229,1,3.36
0,229,2,3.82
0,229,3,5.1
0,229,4,6.6
0,229,5,13.09
0,229,6,10.66
0,230,0,9.39
0,230,1,9.73
0,230,2,16.34
0,230,3,19.81
0,230,4,25.61
0,230,5,28.27
0,230,6,29.2
0,231,0,1.85
0,231,1,2.43
0,231,2,4.4
0,231,3,6.72
0,231,4,10.89
0,231,5,15.41
0,231,6,13.79
0,232,0,0.81
0,232,1,0.58
0,232,2,0.35
0,232,3,0.81
0,232,4,1.85
0,232,5,3.59
0,232,6,4.17
0,233,0,1.51
0,233,1,1.39
0,233,2,2.78
0,233,3,2.2
0,233,4,3.59
0,233,5,7.42
0,233,6,6.49
0,234,0,6.95
0,234,1,5.45
0,234,2,7.42
0,234,3,11.12
0,234,4,16.92
0,234,5,28.04
0,234,6,28.39
0,236,0,1.85
0,236,1,1.39
0,236,2,2.67
0,236,3,2.43
0,236,4,3.71
0,236,5,6.03
0,236,6,6.84
0,237,0,3.94
0,237,1,3.82
0,237,2,7.65
0,237,3,9.04
0,237,4,8.46
0,237,5,12.17
0,237,6,11.94
0,238,0,1.74
0,238,1,2.43
0,238,2,1.74
0,238,3,1.85
0,238,4,3.13
0,238,5,5.68
0,238,6,8.46
0,239,0,2.9
0,239,1,3.13
0,239,2,4.75
0,239,3,4.17
0,239,4,7.76
0,239,5,12.98
0,239,6,14.83
0,243,2,0.12
0,243,3,0.12
0,243,4,0.12
0,243,5,0.23
0,243,6,0.12
0,244,0,0.12
0,244,1,0.12
0,244,2,0.12
0,244,3,0.12
0,244,4,0.23
0,244,5,0.23
0,244,6,0.7
0,246,0,4.87
0,246,1,2.2
0,246,2,2.78
0,246,3,5.56
0,246,4,5.45
0,246,5,11.24
0,246,6,11.12
0,249,0,13.21
0,249,1,9.5
0,249,2,14.37
0,249,3,18.31
0,249,4,36.85
0,249,5,69.18
0,249,6,68.37
0,261,0,0.35
0,261,2,0.81
0,261,3,0.93
0,261,4,1.51
0,261,5,1.04
0,261,6,3.94
0,262,0,0.93
0,262,1,0.46
0,262,2,0.35
0,262,3,0.7
0,262,4,1.27
0,262,5,1.85
0,262,6,2.32
0,263,0,3.24
0,263,1,2.67
0,263,2,5.1
0,263,3,5.33
0,263,4,8.92
0,263,5,16.57
0,263,6,19.93
1,4,1,0.35
1,4,2,0.23
1,4,3,0.46
1,4,4,1.62
1,4,5,7.65
1,4,6,7.88
1,12,6,0.12
1,13,0,0.12
1,13,1,0.12
1,13,3,0.12
1,13,4,0.12
1,13,5,0.12
1,13,6,0.81
1,24,1,0.35
1,24,2,0.23
1,24,3,0.23
1,24,4,0.35
1,24,5,0.35
1,24,6,0.81
1,41,0,0.58
1,41,1,0.35
1,41,2,0.12
1,41,3,0.35
1,41,4,0.58
1,41,6,0.81
1,42,0,0.35
1,42,2,0.12
1,42,4,0.12
1,42,5,0.58
1,42,6,0.23
1,43,0,0.35
1,43,1,0.23
1,43,2,0.35
1,43,3,0.81
1,43,4,0.93
1,43,5,1.04
1,43,6,2.09
1,45,0,0.23
1,45,1,0.23
1,45,2,0.35
1,45,3,0.23
1,45,4,0.7
1,45,5,2.78
1,45,6,2.2
1,48,0,8.69
1,48,1,6.26
1,48,2,9.15
1,48,3,10.31
1,48,4,16.92
1,48,5,33.37
1,48,6,37.89
1,50,0,1.27
1,50,1,0.46
1,50,2,1.39
1,50,3,1.62
1,50,4,2.9
1,50,5,4.87
1,50,6,5.56
1,68,0,5.33
1,68,1,3.48
1,68,2,3.59
1,68,3,5.56
1,68,4,8.92
1,68,5,15.64
1,68,6,22.13
1,74,0,0.35
1,74,2,0.12
1,74,3,0.23
1,74,4,0.23
1,74,5,0.93
1,74,6,1.51
1,75,0,0.35
1,75,1,0.23
1,75,2,0.58
1,75,3,0.35
1,75,4,0.46
1,75,5,1.51
1,75,6,1.85
1,79,0,8.11
1,79,1,3.71
1,79,2,9.04
1,79,3,8.57
1,79,4,22.94
1,79,5,90.38
1,79,6,92.12
1,87,0,0.46
1,87,1,0.23
1,87,2,0.81
1,87,3,0.46
1,87,4,1.16
1,87,5,3.24
1,87,6,3.94
1,88,0,0.23
1,88,1,0.12
1,88,2,0.46
1,88,3,0.35
1,88,4,0.81
1,88,5,1.74
1,88,6,1.62
1,90,0,4.06
1,90,1,2.43
1,90,2,2.9
1,90,3,5.45
1,90,4,8.23
1,90,5,17.61
1,90,6,17.5
1,100,0,3.24
1,100,1,2.43
1,100,2,4.75
1,100,3,4.17
1,100,4,5.91
1,100,5,10.08
1,100,6,10.89
1,107,0,3.24
1,107,1,1.85
1,107,2,3.24
1,107,3,3.94
1,107,4,7.53
1,107,5,21.78
1,107,6,24.57
1,113,0,1.04
1,113,1,1.16
1,113,2,0.93
1,113,3,0.93
1,113,4,3.82
1,113,5,13.79
1,113,6,9.97
1,114,0,4.4
1,114,1,3.94
1,114,2,4.98
1,114,3,8.34
1,114,4,19.7
1,114,5,43.45
1,114,6,44.38
1,116,0,0.12
1,116,2,0.46
1,116,3,0.23
1,116,4,0.12
1,116,6,0.46
1,125,0,1.39
1,125,1,0.35
1,125,2,0.93
1,125,3,1.39
1,125,4,2.2
1,125,5,5.91
1,125,6,5.68
1,127,4,0.12
1,127,6,0.12
1,128,5,0.12
1,137,0,1.97
1,137,1,1.16
1,137,2,2.09
1,137,3,2.2
1,137,4,4.06
1,137,5,8.11
1,137,6,10.08
1,140,0,0.58
1,140,1,0.58
1,140,2,1.97
1,140,3,2.55
1,140,4,1.62
1,140,5,3.59
1,140,6,2.32
1,141,0,1.62
1,141,1,1.97
1,141,2,1.51
1,141,3,2.67
1,141,4,4.87
1,141,5,9.85
1,141,6,10.31
1,142,0,2.55
1,142,1,1.85
1,142,2,2.55
1,142,3,2.78
1,142,4,3.36
1,142,5,6.72
1,142,6,7.65
1,143,0,0.46
1,143,1,0.46
1,143,2,0.23
1,143,3,0.35
1,143,4,0.35
1,143,5,1.39
1,143,6,1.74
1,144,0,1.51
1,144,1,1.04
1,144,2,1.62
1,144,3,2.55
1,144,4,8.11
1,144,5,19.81
1,144,6,22.71
1,148,0,3.48
1,148,1,2.67
1,148,2,3.94
1,148,3,5.45
1,148,4,17.27
1,148,5,57.71
1,148,6,63.04
1,151,0,0.46
1,151,1,0.12
1,151,2,0.23
1,151,3,0.35
1,151,4,0.12
1,151,5,1.27
1,151,6,1.04
1,152,1,0.12
1,152,3,0.12
1,152,4,0.23
1,152,5,0.23
1,152,6,0.23
1,158,0,1.16
1,158,1,0.7
1,158,2,2.09
1,158,3,3.94
1,158,4,9.39
1,158,5,23.29
1,158,6,26.65
1,161,0,1.85
1,161,1,1.97
1,161,2,3.94
1,161,3,4.98
1,161,4,4.75
1,161,5,6.6
1,161,6,8.57
1,162,0,1.74
1,162,1,1.51
1,162,2,2.2
1,162,3,2.43
1,162,4,4.63
1,162,5,6.14
1,162,6,7.53
1,163,0,2.09
1,163,1,2.55
1,163,2,3.48
1,163,3,3.82
1,163,4,4.63
1,163,5,8.69
1,163,6,10.31
1,164,0,3.48
1,164,1,3.48
1,164,2,5.21
1,164,3,6.84
1,164,4,11.12
1,164,5,16.8
1,164,6,18.77
1,166,0,0.35
1,166,1,0.23
1,166,2,0.46
1,166,3,0.35
1,166,4,0.7
1,166,5,0.81
1,166,6,0.81
1,170,0,2.2
1,170,1,1.27
1,170,2,3.01
1,170,3,2.43
1,170,4,3.94
1,170,5,13.44
1,170,6,12.75
1,186,0,7.42
1,186,1,3.24
1,186,2,4.4
1,186,3,7.18
1,186,4,8.92
1,186,5,15.18
1,186,6,16.11
1,194,6,0.12
1,202,6,0.12
1,209,2,0.35
1,209,3,0.46
1,209,4,0.46
1,209,5,2.09
1,209,6,1.04
1,211,0,1.74
1,211,1,0.7
1,211,2,1.04
1,211,3,2.32
1,211,4,5.91
1,211,5,13.9
1,211,6,15.64
1,224,0,0.35
1,224,1,0.12
1,224,4,0.12
1,224,5,0.7
1,224,6,0.58
1,229,0,1.85
1,229,1,1.97
1,229,2,2.43
1,229,3,3.36
1,229,4,3.13
1,229,5,8.92
1,229,6,8.0
1,230,0,4.75
1,230,1,4.4
1,230,2,6.14
1,230,3,9.5
1,230,4,11.12
1,230,5,19.35
1,230,6,17.73
1,231,0,0.81
1,231,1,1.51
1,231,2,3.01
1,231,3,4.4
1,231,4,7.65
1,231,5,14.48
1,231,6,14.95
1,232,0,0.12
1,232,1,0.35
1,232,2,0.35
1,232,3,0.58
1,232,4,0.46
1,232,5,2.67
1,232,6,3.36
1,233,0,0.93
1,233,1,0.7
1,233,2,1.51
1,233,3,0.93
1,233,4,2.32
1,233,5,3.71
1,233,6,4.17
1,234,0,1.97
1,234,1,1.85
1,234,2,3.82
1,234,3,4.52
1,234,4,9.15
1,234,5,20.63
1,234,6,19.7
1,236,0,0.7
1,236,1,0.35
1,236,2,1.27
1,236,3,1.04
1,236,4,1.97
1,236,5,2.9
1,236,6,2.78
1,237,0,0.7
1,237,1,1.74
1,237,2,2.09
1,237,3,1.97
1,237,4,3.59
1,237,5,5.33
1,237,6,10.08
1,238,0,1.04
1,238,1,0.7
1,238,2,0.81
1,238,3,0.46
1,238,4,0.93
1,238,5,3.71
1,238,6,4.06
1,239,0,1.04
1,239,1,1.16
1,239,2,1.27
1,239,3,1.62
1,239,4,3.82
1,239,5,6.6
1,239,6,7.65
1,243,0,0.12
1,243,5,0.12
1,243,6,0.12
1,244,2,0.23
1,244,6,0.23
1,246,0,4.29
1,246,1,1.27
1,246,2,2.09
1,246,3,8.69
1,246,4,4.98
1,246,5,10.66
1,246,6,14.95
1,249,0,8.34
1,249,1,4.98
1,249,2,8.34
1,249,3,8.92
1,249,4,22.36
1,249,5,64.54
1,249,6,63.27
1,261,1,0.12
1,261,2,0.35
1,261,3,0.93
1,261,4,1.74
1,261,5,1.97
1,261,6,2.55
1,262,1,0.46
1,262,2,0.23
1,262,3,0.46
1,262,4,0.58
1,262,5,0.93
1,262,6,1.74
1,263,0,1.16
1,263,1,1.51
1,263,2,2.2
1,263,3,2.67
1,263,4,5.33
1,263,5,11.01
1,263,6,13.44
2,4,0,0.12
2,4,1,0.12
2,4,3,0.23
2,4,4,1.27
2,4,5,9.15
2,4,6,8.81
2,13,2,0.12
2,13,3,0.12
2,13,5,0.35
2,13,6,0.46
2,24,3,0.12
2,24,4,0.35
2,24,5,0.35
2,24,6,0.58
2,41,0,0.12
2,41,3,0.23
2,41,4,0.46
2,41,5,0.7
2,41,6,0.46
2,42,0,0.12
2,42,2,0.12
2,42,3,0.35
2,42,5,0.12
2,42,6,0.35
2,43,1,0.23
2,43,3,0.12
2,43,4,0.35
2,43,5,0.35
2,43,6,0.7
2,45,0,0.12
2,45,1,0.12
2,45,4,0.23
2,45,5,1.97
2,45,6,1.85
2,48,0,6.37
2,48,1,3.36
2,48,2,4.17
2,48,3,5.56
2,48,4,10.66
2,48,5,25.84
2,48,6,27.11
2,50,0,0.46
2,50,1,0.35
2,50,2,0.7
2,50,3,0.7
2,50,4,1.85
2,50,5,3.59
